Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1970 [YR1970],1980 [YR1980],1990 [YR1990],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,South Africa,ZAF,49.0362926829268,52.8506829268293,56.9730731707317,62.1200731707317,55.8368780487805,54.5708048780488,53.4411951219512,52.523756097561,51.873756097561,51.5573414634146,51.6137073170732,51.996512195122,52.6360243902439,53.4670975609756,54.390756097561,55.2956585365854,56.0983170731707,56.7365853658537,57.1821219512195,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Botswana,BWA,50.5477317073171,54.4434634146342,60.5443658536585,62.5565853658537,48.6936341463415,48.6103170731707,49.2434146341464,50.524512195122,52.3563170731707,54.5522195121951,56.8732682926829,59.0745609756098,60.9585853658537,62.4170975609756,63.4022926829268,63.9516097560976,64.2227317073171,64.3608048780488,64.429243902439,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Uganda,UGA,43.9835609756098,48.8168048780488,49.1827804878049,45.0562682926829,46.4199756097561,47.4041463414634,48.4755853658537,49.5878048780488,50.701243902439,51.7702195121951,52.7570487804878,53.6541463414634,54.4619756097561,55.1820975609756,55.8366585365854,56.463756097561,57.1001951219512,57.7676829268293,58.4664146341464,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kenya,KEN,46.3624146341463,52.2330243902439,57.8336341463415,58.8020487804878,50.7851707317073,50.8241463414634,51.1596585365854,51.7487073170732,52.552243902439,53.5198292682927,54.5910975609756,55.6992926829268,56.7846829268293,57.8004390243903,58.7186097560976,59.5342195121951,60.2727804878049,60.9537804878049,61.5763658536585,..
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Data from database: Health Nutrition and Population Statistics,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 10/05/2016,,,,,,,,,,,,,,,,,,,,,,,
