"country","year","expectancy"
"Botswana",1960,50.5477317073171
"Botswana",1970,54.4434634146342
"Botswana",1980,60.5443658536585
"Botswana",1990,62.5565853658537
"Botswana",2000,48.6936341463415
"Botswana",2001,48.6103170731707
"Botswana",2002,49.2434146341464
"Botswana",2003,50.524512195122
"Botswana",2004,52.3563170731707
"Botswana",2005,54.5522195121951
"Botswana",2006,56.8732682926829
"Botswana",2007,59.0745609756098
"Botswana",2008,60.9585853658537
"Botswana",2009,62.4170975609756
"Botswana",2010,63.4022926829268
"Botswana",2011,63.9516097560976
"Botswana",2012,64.2227317073171
"Botswana",2013,64.3608048780488
"Botswana",2014,64.429243902439
"South Africa",1960,49.0362926829268
"South Africa",1970,52.8506829268293
"South Africa",1980,56.9730731707317
"South Africa",1990,62.1200731707317
"South Africa",2000,55.8368780487805
"South Africa",2001,54.5708048780488
"South Africa",2002,53.4411951219512
"South Africa",2003,52.523756097561
"South Africa",2004,51.873756097561
"South Africa",2005,51.5573414634146
"South Africa",2006,51.6137073170732
"South Africa",2007,51.996512195122
"South Africa",2008,52.6360243902439
"South Africa",2009,53.4670975609756
"South Africa",2010,54.390756097561
"South Africa",2011,55.2956585365854
"South Africa",2012,56.0983170731707
"South Africa",2013,56.7365853658537
"South Africa",2014,57.1821219512195
"Uganda",1960,43.9835609756098
"Uganda",1970,48.8168048780488
"Uganda",1980,49.1827804878049
"Uganda",1990,45.0562682926829
"Uganda",2000,46.4199756097561
"Uganda",2001,47.4041463414634
"Uganda",2002,48.4755853658537
"Uganda",2003,49.5878048780488
"Uganda",2004,50.701243902439
"Uganda",2005,51.7702195121951
"Uganda",2006,52.7570487804878
"Uganda",2007,53.6541463414634
"Uganda",2008,54.4619756097561
"Uganda",2009,55.1820975609756
"Uganda",2010,55.8366585365854
"Uganda",2011,56.463756097561
"Uganda",2012,57.1001951219512
"Uganda",2013,57.7676829268293
"Uganda",2014,58.4664146341464
